                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8655,                 11.937,                      0,                 3.5951,                 1.9612,                0.64127,                0.50427,                 0.6077,                0.39977,                      0,                      0,                      0,                      0,                 1.1911,                 11.885,                      0,                 1.6192,                 1.3632,                0.00058,                0.00058,                0.00058
                      2,                 1.2813,                  11.93,                      0,                 1.4578,                 1.3137,                0.35546,                0.64103,                0.39766,                0.25884,                      0,                      0,                      0,                      0,                 1.2577,                 11.894,                      0,                 1.7777,                 1.4051,              0.0011683,              0.0011683,              0.0011683
                      3,                  1.266,                  11.91,                      0,                 1.5265,                 1.2763,                0.70749,                0.44444,                0.52318,                0.33886,                      0,                      0,                      0,                      0,                 1.3182,                 11.863,                      0,                 1.6967,                 1.3873,              0.0017448,              0.0017448,              0.0017448
                      4,                 1.3025,                 11.896,                      0,                 1.5627,                 1.3153,                0.34862,                 0.4188,                 0.2944,                 0.1756,                      0,                      0,                      0,                      0,                 1.5836,                 11.884,                      0,                 2.9139,                 1.6525,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1839,                 11.861,                      0,                 1.4604,                 1.2555,                0.55118,                 0.5641,                0.61323,                0.39968,                      0,                      0,                      0,                      0,                 1.1232,                 11.793,                      0,                 1.8445,                  1.302,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1862,                 11.817,                      0,                 1.3714,                 1.2617,                0.62507,                0.48449,                0.60044,                0.40965,                      0,                      0,                      0,                      0,                 1.1075,                 11.734,                      0,                 1.5164,                 1.2506,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1091,                 11.758,                      0,                 1.3632,                 1.2251,                0.66381,                0.47863,                0.61389,                0.42271,                      0,                      0,                      0,                      0,                  1.082,                  11.67,                      0,                 1.6654,                 1.2495,               0.001901,               0.001901,               0.001901
                      8,                 1.0575,                 11.699,                      0,                 1.3366,                 1.1818,                 0.6601,                0.57265,                0.55836,                0.41101,                      0,                      0,                      0,                      0,                0.97154,                 11.546,                      0,                 1.7784,                 1.1775,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0338,                 11.598,                      0,                 1.3172,                 1.1845,                0.60981,                0.57265,                0.60071,                0.41198,                      0,                      0,                      0,                      0,                  1.035,                 11.427,                      0,                 1.3799,                 1.2131,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0727,                 11.476,                      0,                 1.3102,                 1.1573,                0.69313,                0.48266,                0.59567,                 0.4029,                      0,                      0,                      0,                      0,                 1.2023,                  11.44,                      0,                 1.4676,                 1.3012,              0.0018416,              0.0018416,              0.0018416
                     11,                0.99992,                  11.37,                      0,                 1.2747,                 1.1251,                0.68519,                0.49573,                0.62832,                 0.4697,                      0,                      0,                      0,                      0,                0.93343,                 11.013,                      0,                 1.3587,                 1.1372,              0.0018218,              0.0018218,              0.0018218
                     12,                0.98149,                 11.225,                      0,                 1.2422,                 1.1411,                0.59539,                0.60371,                0.66117,                0.49573,                      0,                      0,                      0,                      0,                0.92145,                  10.65,                      0,                  1.191,                 1.1064,               0.001802,               0.001802,               0.001802
                     13,                0.94603,                 10.995,                      0,                 1.1695,                 1.1104,                0.67011,                0.54701,                0.64957,                0.50163,                      0,                      0,                      0,                      0,                0.87517,                 10.475,                      0,                 1.3274,                 1.0884,              0.0017822,              0.0017822,              0.0017822
                     14,                0.92895,                 10.929,                      0,                 1.2364,                 1.0934,                0.49456,                0.65812,                0.56352,                0.41669,                      0,                      0,                      0,                      0,                0.90847,                 10.385,                      0,                  1.513,                 1.1207,              0.0017624,              0.0017624,              0.0017624
                     15,                0.91956,                 10.796,                      0,                 1.1618,                 1.0903,                 0.6136,                 0.5812,                0.63201,                0.49311,                      0,                      0,                      0,                      0,                 0.8491,                 10.231,                      0,                 1.2052,                 1.0644,              0.0017426,              0.0017426,              0.0017426
                     16,                0.94565,                 10.664,                      0,                 1.1903,                 1.1068,                 0.7724,                0.48718,                0.67605,                0.50602,                      0,                      0,                      0,                      0,                0.85921,                 10.046,                      0,                 1.1637,                 1.0848,              0.0017228,              0.0017228,              0.0017228
                     17,                0.87657,                 10.562,                      0,                 1.1782,                 1.0792,                0.66496,                0.57265,                0.65798,                0.51734,                      0,                      0,                      0,                      0,                0.81009,                 9.8246,                      0,                 1.2022,                 1.0445,               0.001703,               0.001703,               0.001703
                     18,                0.88747,                 10.607,                      0,                 1.1323,                  1.082,                 0.5573,                0.62393,                0.66242,                0.52301,                      0,                      0,                      0,                      0,                0.80069,                 9.8398,                      0,                 1.1497,                 1.0343,              0.0016832,              0.0016832,              0.0016832
                     19,                0.85438,                 10.454,                      0,                 1.0819,                  1.058,                0.72658,                 0.5224,                0.65466,                0.51193,                      0,                      0,                      0,                      0,                0.86658,                  9.893,                      0,                 1.1716,                  1.065,              0.0016634,              0.0016634,              0.0016634
                     20,                0.83744,                 10.459,                      0,                  1.121,                 1.0599,                0.72866,                0.57382,                0.66969,                0.51335,                      0,                      0,                      0,                      0,                0.84392,                 10.107,                      0,                  1.122,                 1.0671,              0.0016436,              0.0016436,              0.0016436
                     21,                0.88236,                 10.421,                      0,                 1.1196,                 1.0942,                0.68108,                0.56585,                0.66809,                0.50912,                      0,                      0,                      0,                      0,                0.87848,                 9.8434,                      0,                 1.2052,                 1.0825,              0.0016238,              0.0016238,              0.0016238
                     22,                0.89321,                 10.254,                      0,                 1.1287,                 1.0767,                 0.7369,                0.54701,                0.63889,                0.49107,                      0,                      0,                      0,                      0,                0.84465,                 9.5016,                      0,                  1.181,                 1.0532,               0.001604,               0.001604,               0.001604
                     23,                 0.8586,                 9.9601,                      0,                 1.0924,                 1.0929,                0.74678,                0.50411,                 0.6568,                0.53218,                      0,                      0,                      0,                      0,                0.76971,                 9.2952,                      0,                 1.1614,                 1.0153,              0.0015842,              0.0015842,              0.0015842
                     24,                 0.8627,                 9.8938,                      0,                   1.13,                 1.0817,                 0.5746,                0.59829,                0.63707,                0.49938,                      0,                      0,                      0,                      0,                0.80773,                 9.3421,                      0,                 1.2213,                 1.0554,              0.0015644,              0.0015644,              0.0015644
                     25,                0.84428,                 10.103,                      0,                 1.0999,                 1.0796,                 0.6584,                 0.5812,                0.68725,                0.54224,                      0,                      0,                      0,                      0,                0.79679,                 9.3258,                      0,                 1.1352,                 1.0357,              0.0015446,              0.0015446,              0.0015446
                     26,                0.84283,                 10.074,                      0,                  1.111,                   1.07,                0.73811,                0.53846,                0.62783,                0.49348,                      0,                      0,                      0,                      0,                0.79064,                 9.4815,                      0,                 1.2045,                 1.0228,              0.0015248,              0.0015248,              0.0015248
                     27,                0.80223,                 9.8759,                      0,                 1.0816,                 1.0628,                 0.7793,                0.54701,                0.67088,                 0.5331,                      0,                      0,                      0,                      0,                0.78511,                 9.1989,                      0,                 1.1468,                 1.0101,               0.001505,               0.001505,               0.001505
                     28,                0.82314,                 9.8764,                      0,                 1.0238,                 1.0372,                0.77592,                0.53276,                0.64119,                0.51797,                      0,                      0,                      0,                      0,                0.76669,                 9.0564,                      0,                 1.2312,                 1.0152,              0.0014852,              0.0014852,              0.0014852
                     29,                0.83606,                 9.9017,                      0,                 1.0862,                 1.0497,                0.72988,                0.55428,                0.66789,                0.54313,                      0,                      0,                      0,                      0,                0.75221,                  9.294,                      0,                 1.0807,                 0.9906,              0.0014654,              0.0014654,              0.0014654
                     30,                0.76934,                 9.7752,                      0,                 1.0193,                 1.0187,                0.71199,                0.53846,                0.67847,                0.53926,                      0,                      0,                      0,                      0,                0.78052,                 9.0371,                      0,                 1.1077,                   1.01,              0.0014456,              0.0014456,              0.0014456
                     31,                0.75084,                 9.7167,                      0,                0.97842,                 1.0022,                0.69424,                0.57265,                0.64464,                0.52876,                      0,                      0,                      0,                      0,                0.76039,                 9.1065,                      0,                 1.2814,                0.99373,              0.0014258,              0.0014258,              0.0014258
                     32,                0.78245,                 9.6282,                      0,                 1.0976,                  1.039,                0.66823,                0.53846,                0.65178,                0.50366,                      0,                      0,                      0,                      0,                 0.7989,                 8.9326,                      0,                 1.1521,                 1.0496,               0.001406,               0.001406,               0.001406
                     33,                0.74134,                 9.6642,                      0,                 1.0323,                 1.0143,                 0.7097,                0.56417,                0.67772,                0.55211,                      0,                      0,                      0,                      0,                0.76014,                 8.9555,                      0,                 1.0793,                 1.0077,              0.0013862,              0.0013862,              0.0013862
                     34,                0.77292,                 9.6617,                      0,                 1.0656,                 1.0265,                0.70414,                0.54701,                0.64576,                 0.5051,                      0,                      0,                      0,                      0,                 0.7944,                 8.9659,                      0,                 1.1372,                 1.0126,              0.0013664,              0.0013664,              0.0013664
                     35,                0.74512,                 9.5749,                      0,                 1.0699,                 1.0104,                0.65133,                0.52691,                0.59076,                0.47355,                      0,                      0,                      0,                      0,                0.75442,                  8.949,                      0,                 1.1732,                0.99468,              0.0013466,              0.0013466,              0.0013466
                     36,                0.76913,                 9.6042,                      0,                 1.0649,                 1.0121,                0.58266,                0.53846,                0.62942,                0.49401,                      0,                      0,                      0,                      0,                0.80219,                 8.9244,                      0,                 1.1516,                 1.0353,              0.0013268,              0.0013268,              0.0013268
                     37,                0.74729,                 9.3754,                      0,                 1.0242,                 1.0175,                0.76321,                0.52137,                0.66571,                0.53041,                      0,                      0,                      0,                      0,                 0.7405,                 8.7066,                      0,                 1.1066,                      1,               0.001307,               0.001307,               0.001307
                     38,                0.77354,                 9.4642,                      0,                 1.0576,                  1.035,                0.74701,                0.50474,                 0.6764,                0.55698,                0.02057,                0.00855,                0.00053,                  5e-05,                0.70889,                 8.7475,                      0,                 1.0983,                 0.9784,              0.0012872,              0.0012872,              0.0012872
                     39,                 0.7171,                 9.2814,                      0,                0.96954,                0.99755,                0.77943,                0.51282,                0.66979,                0.54415,                 0.0206,                0.00855,                0.00064,                  6e-05,                0.70683,                 8.5831,                      0,                 1.1199,                0.98122,              0.0012674,              0.0012674,              0.0012674
                     40,                0.72983,                 9.2381,                      0,                0.98919,                 1.0017,                0.80827,                0.52137,                0.66995,                0.55503,                      0,                      0,                      0,                      0,                0.71816,                 8.6179,                      0,                 1.0868,                0.96858,              0.0012476,              0.0012476,              0.0012476
                     41,                0.72284,                 9.2132,                      0,                0.99773,                 1.0024,                0.84694,                0.52137,                0.68212,                0.55924,                      0,                      0,                      0,                      0,                0.71267,                 8.4934,                      0,                 1.0468,                0.98745,              0.0012278,              0.0012278,              0.0012278
                     42,                0.69576,                 9.0287,                      0,                0.97798,                0.98349,                0.78704,                0.52991,                0.67776,                0.56555,                0.01915,                0.00855,                0.00072,                  7e-05,                0.68073,                 8.4238,                      0,                 1.0865,                0.96952,               0.001208,               0.001208,               0.001208
                     43,                0.68062,                 9.0324,                      0,                0.95739,                 0.9809,                0.78456,                0.53846,                0.68537,                0.57558,                0.02909,                0.00855,                0.00153,                0.00015,                0.69049,                 8.4372,                      0,                 1.0736,                0.96192,              0.0011882,              0.0011882,              0.0011882
                     44,                 0.7233,                 8.9835,                      0,                 1.0085,                 1.0056,                0.71076,                0.51282,                0.63122,                0.51615,                      0,                      0,                      0,                      0,                0.73802,                 8.3525,                      0,                 1.1758,                0.98245,              0.0011684,              0.0011684,              0.0011684
                     45,                0.72289,                 8.9975,                      0,                0.97274,                 1.0161,                0.78184,                0.50427,                0.65866,                 0.5513,                      0,                      0,                      0,                      0,                0.67667,                  8.209,                      0,                 1.0819,                0.96015,              0.0011486,              0.0011486,              0.0011486
                     46,                0.68905,                 8.8072,                      0,                0.95664,                0.98562,                 0.7692,                0.53846,                0.65158,                0.53845,                0.02267,                0.00855,                0.00078,                  8e-05,                0.67169,                 8.1099,                      0,                 1.1034,                0.96619,              0.0011288,              0.0011288,              0.0011288
                     47,                0.68315,                 8.8665,                      0,                0.94038,                0.98773,                0.77383,                0.52641,                0.66737,                0.56455,                      0,                      0,                      0,                      0,                0.67718,                 8.0734,                      0,                  1.104,                0.96617,               0.001109,               0.001109,               0.001109
                     48,                0.67074,                 8.7986,                      0,                0.96814,                0.98786,                0.78335,                0.52991,                 0.6862,                0.56942,                      0,                      0,                      0,                      0,                0.69342,                 7.9956,                      0,                 1.0526,                0.97491,              0.0010892,              0.0010892,              0.0010892
                     49,                0.66727,                 8.7423,                      0,                0.94701,                0.98636,                0.74322,                0.54427,                0.66387,                0.54576,                 0.0171,                0.00855,                0.00067,                  7e-05,                0.70314,                 7.8031,                      0,                 1.0586,                0.97742,              0.0010694,              0.0010694,              0.0010694
                     50,                0.64758,                 8.5715,                      0,                0.86071,                0.96516,                0.81209,                0.52991,                 0.6609,                0.55359,                      0,                      0,                      0,                      0,                0.68101,                 7.9179,                      0,                 1.1019,                0.96844,              0.0010496,              0.0010496,              0.0010496
